0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"[-0.0, 0.0, 0.2591704726219177]","[-0.02888958714902401, 0.004272046498954296, 0.2456785887479782]","[-0.005580200348049402, 0.03163597360253334, 0.18640826642513275]","[0.10308782756328583, 0.04305195435881615, 0.055839911103248596]","[0.005531006027013063, 0.010899459943175316, 0.21654260158538818]","[0.05675225704908371, 0.0422213152050972, 0.12168921530246735]","[0.15968701243400574, 0.0511762835085392, 0.0]","[-0.0587167963385582, 0.0049486178904771805, 0.29532569646835327]","[-0.16852208971977234, -0.04470374807715416, 0.40619999170303345]","[-0.2991717457771301, -0.07459709048271179, 0.5662106275558472]","[-0.31787511706352234, -0.08055363595485687, 0.6020399332046509]","[-0.13126739859580994, -0.02283736690878868, 0.3758997917175293]","[-0.06649133563041687, -0.0027385095600038767, 0.2593986690044403]","[-0.05118725448846817, 0.004052543547004461, 0.21990227699279785]","[-0.22403857111930847, -0.07148533314466476, 0.439442902803421]","[-0.10942444205284119, -0.03151492774486542, 0.2864300608634949]","[-0.059123292565345764, -0.008786248043179512, 0.22573773562908173]"
"[-0.0, 0.0, 0.27219629287719727]","[-0.031236572191119194, 0.0036038653925061226, 0.26107257604599]","[-0.010855224914848804, 0.031102333217859268, 0.20278650522232056]","[0.08929114043712616, 0.04421317204833031, 0.0806334912776947]","[0.008119018748402596, 0.010155157186090946, 0.22758233547210693]","[0.06691009551286697, 0.04162220656871796, 0.12269739806652069]","[0.1730623096227646, 0.05069983750581741, 0.0]","[-0.05823010206222534, 0.004999401513487101, 0.3091394603252411]","[-0.16701184213161469, -0.04468001425266266, 0.42007681727409363]","[-0.2949420213699341, -0.07395736128091812, 0.5760853886604309]","[-0.3131164610385895, -0.08014623820781708, 0.6113312244415283]","[-0.13252581655979156, -0.021943340077996254, 0.39255350828170776]","[-0.0718773826956749, -3.196013130946085e-05, 0.2789570391178131]","[-0.05702172964811325, 0.005832348950207233, 0.23971973359584808]","[-0.22060546278953552, -0.07159794121980667, 0.45064398646354675]","[-0.1052536591887474, -0.03150046989321709, 0.2971165180206299]","[-0.05761999636888504, -0.00934493076056242, 0.23781818151474]"
"[-0.0, 0.0, 0.281395822763443]","[-0.03213171288371086, 0.0026065560523420572, 0.27147504687309265]","[-0.022841613739728928, 0.029712684452533722, 0.21985584497451782]","[0.07284924387931824, 0.04649107903242111, 0.10653309524059296]","[0.009874023497104645, 0.009271545335650444, 0.23530347645282745]","[0.07162469625473022, 0.041446503251791, 0.12573115527629852]","[0.18200457096099854, 0.05043422803282738, 0.0]","[-0.059005919843912125, 0.004076130222529173, 0.3200113773345947]","[-0.16996325552463531, -0.046341802924871445, 0.4341645836830139]","[-0.2972656190395355, -0.07574369758367538, 0.5942118167877197]","[-0.3107530474662781, -0.08155983686447144, 0.622778058052063]","[-0.13520611822605133, -0.02306230179965496, 0.4051320254802704]","[-0.06845367699861526, -0.001154905534349382, 0.2862273156642914]","[-0.05541101098060608, 0.005014353897422552, 0.2482433021068573]","[-0.22397418320178986, -0.07392830401659012, 0.46643567085266113]","[-0.11021905392408371, -0.03430239483714104, 0.3118562698364258]","[-0.05138769373297691, -0.010474758222699165, 0.24110443890094757]"
"[-0.0, 0.0, 0.2898448407649994]","[-0.03125414997339249, 0.0021962986793369055, 0.2787156403064728]","[-0.03145556524395943, 0.027991069480776787, 0.232197567820549]","[0.05390069633722305, 0.0480780266225338, 0.13441582024097443]","[0.009415160864591599, 0.009193453937768936, 0.24315527081489563]","[0.07613751292228699, 0.04129417985677719, 0.12718407809734344]","[0.1884733885526657, 0.04964069277048111, 0.0]","[-0.059848085045814514, 0.003598152194172144, 0.3288467228412628]","[-0.17212097346782684, -0.04660665616393089, 0.4448354244232178]","[-0.2919222414493561, -0.075035460293293, 0.5966460704803467]","[-0.3083125054836273, -0.08080313354730606, 0.6288337707519531]","[-0.1397285759449005, -0.02335699275135994, 0.4164799153804779]","[-0.07268749922513962, 0.0005698724999092519, 0.29784131050109863]","[-0.05988195911049843, 0.006409330293536186, 0.2606601417064667]","[-0.2238195240497589, -0.07440444827079773, 0.47605764865875244]","[-0.1102205216884613, -0.03565855696797371, 0.32075023651123047]","[-0.051744140684604645, -0.010404388420283794, 0.2497991919517517]"
"[-0.0, 0.0, 0.2983642518520355]","[-0.03183910995721817, 0.001014099339954555, 0.2873794436454773]","[-0.043087828904390335, 0.025447186082601547, 0.2462139129638672]","[0.04078314080834389, 0.04925115033984184, 0.15713036060333252]","[0.010762511752545834, 0.008405603468418121, 0.2497885674238205]","[0.07806176692247391, 0.04104363173246384, 0.13239659368991852]","[0.19705109298229218, 0.04879569634795189, 0.0]","[-0.0603640154004097, 0.0028386004269123077, 0.33778172731399536]","[-0.17358838021755219, -0.047699082642793655, 0.454822301864624]","[-0.2938230037689209, -0.07543566823005676, 0.6075976490974426]","[-0.30894726514816284, -0.08121901005506516, 0.638585090637207]","[-0.14246973395347595, -0.023727601394057274, 0.42724937200546265]","[-0.07599450647830963, 0.0018818461103364825, 0.30961963534355164]","[-0.06424609571695328, 0.007127800025045872, 0.2734103202819824]","[-0.22359533607959747, -0.07585069537162781, 0.4850306510925293]","[-0.11043408513069153, -0.03727315366268158, 0.32953983545303345]","[-0.05203656107187271, -0.011369273066520691, 0.2582501769065857]"
"[-0.0, 0.0, 0.3174159526824951]","[-0.03525238111615181, -0.0005545224994421005, 0.3078676164150238]","[-0.053929444402456284, 0.022848716005682945, 0.26846203207969666]","[0.027998778969049454, 0.051804449409246445, 0.18658147752285004]","[0.010646667331457138, 0.008423984982073307, 0.26705461740493774]","[0.08703674376010895, 0.042849160730838776, 0.1369924247264862]","[0.21443170309066772, 0.04961667209863663, 0.0]","[-0.06461334228515625, 0.000746379024349153, 0.35900694131851196]","[-0.17985522747039795, -0.0505630187690258, 0.479095995426178]","[-0.29503700137138367, -0.07651329040527344, 0.6304011344909668]","[-0.3085102438926697, -0.08295002579689026, 0.6609453558921814]","[-0.15486200153827667, -0.0261236522346735, 0.45407623052597046]","[-0.07945959270000458, 0.00377063755877316, 0.3303634524345398]","[-0.0654381737112999, 0.009405099786818027, 0.29199883341789246]","[-0.2241096794605255, -0.0789608582854271, 0.5061328411102295]","[-0.11081970483064651, -0.040828805416822433, 0.3487686216831207]","[-0.05418688803911209, -0.012273702770471573, 0.2784920632839203]"
"[-0.0, 0.0, 0.3331320285797119]","[-0.03598248213529587, -0.0005898969830013812, 0.3222091794013977]","[-0.04265112429857254, 0.024756362661719322, 0.2749583125114441]","[0.04485229402780533, 0.0516306608915329, 0.17585480213165283]","[0.0043099974282085896, 0.011340253986418247, 0.2866637110710144]","[0.08079119771718979, 0.046543318778276443, 0.152733713388443]","[0.221584290266037, 0.05179982632398605, 0.0]","[-0.07155853509902954, -0.0010392512194812298, 0.3781743347644806]","[-0.18825475871562958, -0.051924966275691986, 0.5025951862335205]","[-0.29408740997314453, -0.07739894092082977, 0.6516565084457397]","[-0.3049846291542053, -0.08359230309724808, 0.6787012815475464]","[-0.16908569633960724, -0.026951106265187263, 0.47942695021629333]","[-0.08574359118938446, 0.007228503003716469, 0.34960314631462097]","[-0.067237488925457, 0.012267167679965496, 0.3074761927127838]","[-0.22517456114292145, -0.08028366416692734, 0.5269527435302734]","[-0.12100933492183685, -0.04703989997506142, 0.37404876947402954]","[-0.0646287202835083, -0.014470850117504597, 0.3035706877708435]"
"[-0.0, 0.0, 0.3346754014492035]","[-0.03898126259446144, -0.002739496296271682, 0.3321661353111267]","[-0.010724670253694057, 0.028341740369796753, 0.2605583369731903]","[0.0797477439045906, 0.05094161257147789, 0.1379701942205429]","[-0.0026727295480668545, 0.012796889990568161, 0.3051990866661072]","[0.06906500458717346, 0.04827252775430679, 0.17274051904678345]","[0.21770019829273224, 0.053875625133514404, 0.0]","[-0.07778381556272507, -0.002125066937878728, 0.39063823223114014]","[-0.19269707798957825, -0.05310671031475067, 0.516251802444458]","[-0.29691845178604126, -0.0786769911646843, 0.6697924137115479]","[-0.30552491545677185, -0.08526196330785751, 0.6932293176651001]","[-0.17937810719013214, -0.026524165645241737, 0.4988844096660614]","[-0.07167351990938187, 0.00694365706294775, 0.34735605120658875]","[-0.04664715752005577, 0.009483309462666512, 0.29549211263656616]","[-0.22358471155166626, -0.08154488354921341, 0.535546064376831]","[-0.1272619068622589, -0.050492338836193085, 0.3871802091598511]","[-0.0738130509853363, -0.01581278070807457, 0.31927159428596497]"
"[-0.0, 0.0, 0.3225327134132385]","[-0.037699706852436066, -0.002300684340298176, 0.3183519244194031]","[0.0011743163922801614, 0.028911167755723, 0.2397272288799286]","[0.0995853915810585, 0.04764917492866516, 0.10713842511177063]","[-0.001173767144791782, 0.012035359628498554, 0.29095813632011414]","[0.06278155744075775, 0.04708249494433403, 0.1702694147825241]","[0.2047031819820404, 0.05236215516924858, 0.0]","[-0.07741668820381165, -0.0013486804673448205, 0.37690356373786926]","[-0.19521430134773254, -0.052539583295583725, 0.5030524730682373]","[-0.3064158856868744, -0.07888247817754745, 0.6670804023742676]","[-0.31405308842658997, -0.08509152382612228, 0.6886175274848938]","[-0.17938989400863647, -0.02607293240725994, 0.48363196849823]","[-0.065452940762043, 0.005218083504587412, 0.3284915089607239]","[-0.07825427502393723, 0.011174400337040424, 0.31477856636047363]","[-0.22703473269939423, -0.08047355711460114, 0.5238649845123291]","[-0.12513671815395355, -0.046268563717603683, 0.3705384433269501]","[-0.09070434421300888, -0.021475497633218765, 0.32114091515541077]"
"[-0.0, 0.0, 0.25484520196914673]","[-0.03513092175126076, -0.004349894355982542, 0.2502041459083557]","[0.02734478749334812, 0.026146402582526207, 0.15665024518966675]","[0.15443798899650574, 0.04262131080031395, 0.010781601071357727]","[0.0011550902854651213, 0.006358854006975889, 0.22368699312210083]","[0.033218566328287125, 0.04067813977599144, 0.14904826879501343]","[0.14888635277748108, 0.04787445813417435, 0.0]","[-0.08209417760372162, -0.002729971893131733, 0.3129158318042755]","[-0.21538348495960236, -0.05399637296795845, 0.4475664496421814]","[-0.33742576837539673, -0.08000538498163223, 0.6225605010986328]","[-0.3473867177963257, -0.08604061603546143, 0.6474488973617554]","[-0.18523742258548737, -0.032901156693696976, 0.41684430837631226]","[-0.05551110953092575, -0.012883950024843216, 0.2561666667461395]","[-0.03999822959303856, -0.007072129752486944, 0.21369023621082306]","[-0.25453901290893555, -0.07833249121904373, 0.47778022289276123]","[-0.15600073337554932, -0.04553741589188576, 0.32672712206840515]","[-0.1889830380678177, -0.04906247928738594, 0.3428644835948944]"
"[-0.0, 0.0, 0.28130194544792175]","[-0.026902038604021072, -0.0032982744742184877, 0.27148371934890747]","[0.061657410115003586, 0.023959968239068985, 0.1476522833108902]","[0.19661132991313934, 0.03892672061920166, 0.0]","[-0.0006956786965020001, 0.0070231202989816666, 0.2543645203113556]","[-0.004773498512804508, 0.037469297647476196, 0.21420788764953613]","[0.07118689268827438, 0.053508955985307693, 0.1057896763086319]","[-0.07207372784614563, 0.0014082140987738967, 0.33734801411628723]","[-0.20001104474067688, -0.048184603452682495, 0.4687577486038208]","[-0.3102033734321594, -0.07557973265647888, 0.6206769943237305]","[-0.31703367829322815, -0.0811629667878151, 0.639944851398468]","[-0.1640058010816574, -0.02533705160021782, 0.434742271900177]","[-0.054867614060640335, -0.005896416492760181, 0.29416847229003906]","[-0.0363924577832222, -0.003966190852224827, 0.24492987990379333]","[-0.24376556277275085, -0.07352268695831299, 0.5019053220748901]","[-0.19049163162708282, -0.05132541060447693, 0.39477264881134033]","[-0.23748834431171417, -0.06192292645573616, 0.4256953001022339]"
"[-0.0, 0.0, 0.3063364326953888]","[-0.02654699794948101, -0.0020118935499340296, 0.2978289723396301]","[0.06402471661567688, 0.022455617785453796, 0.16210627555847168]","[0.20547375082969666, 0.038814932107925415, 0.0]","[-0.00506445299834013, 0.010963423177599907, 0.2851201295852661]","[-0.014971740543842316, 0.04134386405348778, 0.2444930523633957]","[0.04741906747221947, 0.06126676872372627, 0.1536429524421692]","[-0.0672684907913208, 0.003241667291149497, 0.36232325434684753]","[-0.18136511743068695, -0.04451880604028702, 0.4861876666545868]","[-0.2824036777019501, -0.07181201875209808, 0.6259568929672241]","[-0.28545141220092773, -0.07808774709701538, 0.64101243019104]","[-0.1479456126689911, -0.017377184703946114, 0.4531574249267578]","[-0.05486523360013962, 0.0055382694117724895, 0.32106471061706543]","[-0.0369110107421875, 0.004320234525948763, 0.2726507782936096]","[-0.22516722977161407, -0.07219063490629196, 0.5197461247444153]","[-0.17955750226974487, -0.05326338857412338, 0.41976988315582275]","[-0.19779223203659058, -0.05637899786233902, 0.416949063539505]"
"[-0.0, 0.0, 0.3090696930885315]","[-0.02858288586139679, -0.0013817280996590853, 0.3015952706336975]","[0.06287945806980133, 0.022462250664830208, 0.16508880257606506]","[0.20764081180095673, 0.038420338183641434, 0.0]","[-0.0045303343795239925, 0.011162198148667812, 0.2873901128768921]","[-0.007697693072259426, 0.0426236055791378, 0.2405659705400467]","[0.05561425909399986, 0.06286738812923431, 0.14600200951099396]","[-0.06849639862775803, 0.004006483592092991, 0.36481115221977234]","[-0.1825902760028839, -0.043794333934783936, 0.4882243871688843]","[-0.2803785502910614, -0.07082873582839966, 0.6234831213951111]","[-0.28685423731803894, -0.07716094702482224, 0.6433933973312378]","[-0.14232800900936127, -0.015137159265577793, 0.44878607988357544]","[-0.04890685901045799, 0.001514866598881781, 0.3113196790218353]","[-0.07739190757274628, 0.013493470847606659, 0.3133845031261444]","[-0.23219922184944153, -0.07302489876747131, 0.5291297435760498]","[-0.17255297303199768, -0.04940948635339737, 0.41425958275794983]","[-0.17094701528549194, -0.04298149049282074, 0.3919028639793396]"
"[-0.0, 0.0, 0.25075647234916687]","[-0.038046568632125854, 8.278620225610211e-05, 0.24485155940055847]","[0.03513678163290024, 0.02966771461069584, 0.13870245218276978]","[0.1485184282064438, 0.04204033687710762, 0.0]","[0.004256103653460741, 0.009167018346488476, 0.21177111566066742]","[0.0397866815328598, 0.04559867084026337, 0.13062548637390137]","[0.1346365362405777, 0.056808460503816605, 0.008440554141998291]","[-0.07871747016906738, 0.0009771774057298899, 0.3022942543029785]","[-0.20948809385299683, -0.05064738541841507, 0.43443670868873596]","[-0.31924158334732056, -0.07736393064260483, 0.5856908559799194]","[-0.32881373167037964, -0.08248135447502136, 0.6087734699249268]","[-0.16457287967205048, -0.027379898354411125, 0.3907349109649658]","[-0.04613116383552551, -0.011946925893425941, 0.2312883883714676]","[-0.05257885903120041, 0.00020907139696646482, 0.2170742154121399]","[-0.2628823220729828, -0.07711759209632874, 0.4790661633014679]","[-0.1733938604593277, -0.0481356680393219, 0.33722370862960815]","[-0.11899560689926147, -0.023198336362838745, 0.26955291628837585]"
"[-0.0, 0.0, 0.3233781158924103]","[-0.037712156772613525, -0.0023579057306051254, 0.3157004415988922]","[0.007385558914393187, 0.03026214987039566, 0.232151061296463]","[0.11233032494783401, 0.04548359662294388, 0.0894477516412735]","[0.0024683228693902493, 0.010595312342047691, 0.2850354015827179]","[0.07970227301120758, 0.047966573387384415, 0.1500081866979599]","[0.2177993208169937, 0.054310958832502365, 0.0]","[-0.07660839706659317, -8.045196409511846e-06, 0.37475159764289856]","[-0.19866986572742462, -0.05097838491201401, 0.5034679174423218]","[-0.2986900508403778, -0.07513296604156494, 0.6435643434524536]","[-0.310792475938797, -0.08248986303806305, 0.6727211475372314]","[-0.16793060302734375, -0.02317562885582447, 0.4701994061470032]","[-0.09208434820175171, 0.010030517354607582, 0.3484334647655487]","[-0.08241088688373566, 0.01429311279207468, 0.31334471702575684]","[-0.24335680902004242, -0.07966061681509018, 0.5379012823104858]","[-0.1595274657011032, -0.0583922304213047, 0.4019416570663452]","[-0.06697235256433487, -0.016508882865309715, 0.29517048597335815]"
"[-0.0, 0.0, 0.3493000566959381]","[-0.037865232676267624, -0.0029863934032619, 0.344243586063385]","[-0.020954161882400513, 0.025873158127069473, 0.279224693775177]","[0.06646478176116943, 0.04972146451473236, 0.16292108595371246]","[-0.001354797394014895, 0.012613529339432716, 0.3172512948513031]","[0.08839593827724457, 0.047238077968358994, 0.161055788397789]","[0.23390905559062958, 0.05198141559958458, 0.0]","[-0.0737600103020668, 0.0008437270880676806, 0.4022476375102997]","[-0.18430133163928986, -0.04794668033719063, 0.5235893130302429]","[-0.2770078182220459, -0.07122939079999924, 0.6541873216629028]","[-0.28779906034469604, -0.0788799375295639, 0.6813356876373291]","[-0.15972137451171875, -0.018249569460749626, 0.49340325593948364]","[-0.09550177305936813, 0.016449272632598877, 0.38171613216400146]","[-0.08821588009595871, 0.01813647523522377, 0.3491193354129791]","[-0.22568261623382568, -0.07882005721330643, 0.555273711681366]","[-0.15158678591251373, -0.0624312162399292, 0.4282259941101074]","[-0.06564801186323166, -0.018744008615612984, 0.3234715759754181]"
"[-0.0, 0.0, 0.3629407286643982]","[-0.037048887461423874, -0.003398570464923978, 0.3572918772697449]","[-0.02106207236647606, 0.024713996797800064, 0.2912861108779907]","[0.052364930510520935, 0.05125283822417259, 0.19263458251953125]","[-0.002220398047938943, 0.013902829959988594, 0.33074358105659485]","[0.09017443656921387, 0.04762996733188629, 0.16881689429283142]","[0.24104180932044983, 0.05114613473415375, 0.0]","[-0.0721188336610794, 0.001855881535448134, 0.4154515862464905]","[-0.17839276790618896, -0.04632958397269249, 0.534180223941803]","[-0.26722583174705505, -0.06966803222894669, 0.6597517728805542]","[-0.27949634194374084, -0.07774083316326141, 0.6898068189620972]","[-0.15613585710525513, -0.01535246055573225, 0.5053859949111938]","[-0.10335467755794525, 0.019982455298304558, 0.4041063189506531]","[-0.15161505341529846, 0.016117066144943237, 0.4232003092765808]","[-0.21750591695308685, -0.07784799486398697, 0.5637507438659668]","[-0.1500561535358429, -0.06684393435716629, 0.4430682957172394]","[-0.06673388928174973, -0.022003548219799995, 0.3387683033943176]"
"[-0.0, 0.0, 0.3770296573638916]","[-0.039814453572034836, -0.0035069184377789497, 0.3713271915912628]","[-0.026101868599653244, 0.024385197088122368, 0.3059309720993042]","[0.04288214072585106, 0.055023934692144394, 0.21589098870754242]","[-0.006083373911678791, 0.014945686794817448, 0.34495481848716736]","[0.08295293897390366, 0.04968640208244324, 0.1843140870332718]","[0.24897857010364532, 0.05246501415967941, 0.0]","[-0.07964013516902924, -0.0008961847051978111, 0.43281054496765137]","[-0.18679052591323853, -0.04833433777093887, 0.5568331480026245]","[-0.2647048234939575, -0.06927059590816498, 0.6744282245635986]","[-0.2743622958660126, -0.07705213874578476, 0.7013950347900391]","[-0.17120733857154846, -0.018844636157155037, 0.531548023223877]","[-0.11430871486663818, 0.019834088161587715, 0.4265037178993225]","[-0.11076727509498596, 0.020648591220378876, 0.397134393453598]","[-0.21831262111663818, -0.07867132872343063, 0.5823287963867188]","[-0.15344250202178955, -0.06791659444570541, 0.4616686999797821]","[-0.07126617431640625, -0.021819286048412323, 0.35653093457221985]"
"[-0.0, 0.0, 0.365050733089447]","[-0.041241638362407684, -0.004868117161095142, 0.3609135150909424]","[-0.010250426828861237, 0.025903305038809776, 0.2862092852592468]","[0.08282782137393951, 0.04958328977227211, 0.15789534151554108]","[-0.004379638470709324, 0.012991569936275482, 0.335697203874588]","[0.08193078637123108, 0.04828845337033272, 0.18432843685150146]","[0.2508715093135834, 0.05066951736807823, 0.0]","[-0.08091913163661957, -0.0007304842583835125, 0.4212561249732971]","[-0.1952192336320877, -0.05006507784128189, 0.5465297698974609]","[-0.28466540575027466, -0.07250301539897919, 0.6768021583557129]","[-0.2953992784023285, -0.08034385740756989, 0.7041865587234497]","[-0.18297521770000458, -0.019879810512065887, 0.5288978219032288]","[-0.10612011700868607, 0.01913527213037014, 0.4057199954986572]","[-0.08790600299835205, 0.01952899433672428, 0.36238959431648254]","[-0.22379028797149658, -0.08055314421653748, 0.5644741058349609]","[-0.15416747331619263, -0.060773421078920364, 0.44525545835494995]","[-0.08029302954673767, -0.017026271671056747, 0.35431286692619324]"
"[-0.0, 0.0, 0.321113646030426]","[-0.028163757175207138, -0.013619630597531796, 0.2913976311683655]","[0.04046270623803139, 0.020546644926071167, 0.19055169820785522]","[0.17373614013195038, 0.033238280564546585, 0.04373571276664734]","[0.013705810531973839, 0.0008167820051312447, 0.2572556734085083]","[0.06586450338363647, 0.040308594703674316, 0.1613253802061081]","[0.21383002400398254, 0.040103428065776825, 0.0]","[-0.074897401034832, 0.001991857774555683, 0.35945188999176025]","[-0.22052118182182312, -0.05171196907758713, 0.5005073547363281]","[-0.33077600598335266, -0.07313793897628784, 0.6464788913726807]","[-0.34126514196395874, -0.07937172055244446, 0.6704278588294983]","[-0.19486035406589508, -0.016577117145061493, 0.4801122546195984]","[-0.14161059260368347, 0.04131482541561127, 0.41847217082977295]","[-0.19498632848262787, 0.030796116217970848, 0.43668806552886963]","[-0.2548243999481201, -0.08254338800907135, 0.5159835815429688]","[-0.21341314911842346, -0.07229042798280716, 0.4261891543865204]","[-0.18611352145671844, -0.039791759103536606, 0.39154088497161865]"
"[-0.0, 0.0, 0.3152487874031067]","[-0.025096558034420013, -0.00886695459485054, 0.28012359142303467]","[0.057171814143657684, 0.024550721049308777, 0.15822242200374603]","[0.2019558697938919, 0.03640691190958023, 0.0]","[0.0057586668990552425, 0.008148672059178352, 0.25299227237701416]","[0.0344923697412014, 0.047689907252788544, 0.17639954388141632]","[0.1484183371067047, 0.050833214074373245, 0.02072802186012268]","[-0.07598303258419037, 0.001813521608710289, 0.35211169719696045]","[-0.21150042116641998, -0.04917260631918907, 0.4924398958683014]","[-0.3091447651386261, -0.07161585986614227, 0.6333469152450562]","[-0.31510645151138306, -0.07841311395168304, 0.6514441967010498]","[-0.18523864448070526, -0.017185067757964134, 0.46609851717948914]","[-0.1459200382232666, 0.03804590553045273, 0.4138380289077759]","[-0.2095823436975479, 0.028662890195846558, 0.44914406538009644]","[-0.24279919266700745, -0.07783843576908112, 0.5117502212524414]","[-0.23142468929290771, -0.08101797848939896, 0.45570483803749084]","[-0.29911670088768005, -0.08344076573848724, 0.5176854729652405]"
"[-0.0, 0.0, 0.3435642719268799]","[-0.020224548876285553, -0.006396673619747162, 0.3086998462677002]","[0.07904431223869324, 0.015472188591957092, 0.16026794910430908]","[0.22721777856349945, 0.028013207018375397, 0.0]","[0.0026171875651925802, 0.010083021596074104, 0.2932187020778656]","[-0.015889037400484085, 0.044135596603155136, 0.2636461853981018]","[0.0536724254488945, 0.06047004461288452, 0.15798157453536987]","[-0.055501341819763184, 0.007714835926890373, 0.3757270574569702]","[-0.17145989835262299, -0.043961916118860245, 0.49759918451309204]","[-0.27426257729530334, -0.06720231473445892, 0.6318750381469727]","[-0.28122642636299133, -0.07584565877914429, 0.6524456739425659]","[-0.14028491079807281, -0.0053279283456504345, 0.47417429089546204]","[-0.06293701380491257, 0.053930409252643585, 0.40040990710258484]","[-0.11245373636484146, 0.04661283642053604, 0.42497482895851135]","[-0.2145204395055771, -0.07401536405086517, 0.5194591879844666]","[-0.1865050047636032, -0.06182835251092911, 0.4418242275714874]","[-0.21647559106349945, -0.051306117326021194, 0.4626115560531616]"
"[-0.0, 0.0, 0.27808648347854614]","[-0.020038818940520287, 0.003288386156782508, 0.2416275590658188]","[0.05298516899347305, 0.02233661338686943, 0.13115544617176056]","[0.1553526669740677, 0.024954136461019516, 0.0]","[0.010506469756364822, 0.010968262329697609, 0.21238525211811066]","[-0.011803710833191872, 0.042662765830755234, 0.1949017345905304]","[0.0023430176079273224, 0.06537682563066483, 0.16857537627220154]","[-0.055450133979320526, 0.008910666219890118, 0.30348026752471924]","[-0.17879284918308258, -0.0377175435423851, 0.42574650049209595]","[-0.2881673574447632, -0.06259851902723312, 0.5634061098098755]","[-0.30290552973747253, -0.06929134577512741, 0.5928905010223389]","[-0.14566852152347565, -0.011275606229901314, 0.40081727504730225]","[-0.04143896326422691, 0.030708545818924904, 0.30504485964775085]","[-0.12290893495082855, 0.031088436022400856, 0.35061973333358765]","[-0.21991467475891113, -0.06367464363574982, 0.4492364823818207]","[-0.14779718220233917, -0.034961163997650146, 0.32875916361808777]","[-0.1282651424407959, -0.010790950618684292, 0.3059218227863312]"
"[-0.0, 0.0, 0.12328661978244781]","[-0.01885424740612507, 0.006747191771864891, 0.08372625708580017]","[-0.0013199462555348873, 0.0353844091296196, 0.03840740770101547]","[0.02770196460187435, 0.043619200587272644, 0.0]","[0.02469811961054802, 0.0032652225345373154, 0.03734295815229416]","[-0.019841307774186134, 0.032614488154649734, 0.045657284557819366]","[0.021845275536179543, 0.05391037091612816, 0.007679261267185211]","[-0.05086938291788101, 0.005301026161760092, 0.13588574528694153]","[-0.17356957495212555, -0.035041116178035736, 0.24934795498847961]","[-0.31848815083503723, -0.0622597262263298, 0.41990506649017334]","[-0.3281451463699341, -0.06605697423219681, 0.44250333309173584]","[-0.1570529192686081, -0.033937644213438034, 0.23874586820602417]","[-0.031408507376909256, -0.026405513286590576, 0.12148357927799225]","[-0.07016272097826004, -0.004946431145071983, 0.1425670087337494]","[-0.20030701160430908, -0.05067136138677597, 0.2590758204460144]","[-0.12555859982967377, -0.019504671916365623, 0.14653760194778442]","[-0.09886981546878815, -0.0016348096542060375, 0.1197882667183876]"
"[-0.0, 0.0, 0.12492785602807999]","[-0.02132519520819187, 0.004570708144456148, 0.09536749124526978]","[-0.03841656446456909, 0.034676969051361084, 0.07415612787008286]","[0.021693360060453415, 0.04452322795987129, 0.017051756381988525]","[0.027009155601263046, 0.00019410789536777884, 0.04882177710533142]","[-0.004049255512654781, 0.029722312465310097, 0.044784851372241974]","[0.03351959213614464, 0.042446237057447433, 0.0]","[-0.04477740451693535, 0.006386877968907356, 0.14137017726898193]","[-0.1536894589662552, -0.02931709587574005, 0.24342986941337585]","[-0.30311742424964905, -0.05731654539704323, 0.39927247166633606]","[-0.319642573595047, -0.06198611110448837, 0.4294682443141937]","[-0.14297832548618317, -0.027963608503341675, 0.243144229054451]","[-0.030748840421438217, -0.026844624429941177, 0.12792328000068665]","[-0.07344671338796616, -0.004698550328612328, 0.14331933856010437]","[-0.17880383133888245, -0.04532056301832199, 0.2440534085035324]","[-0.11977148801088333, -0.017126280814409256, 0.14492833614349365]","[-0.12375427037477493, -0.009507537819445133, 0.13896246254444122]"
"[-0.0, 0.0, 0.15957976877689362]","[-0.016143372282385826, -0.0042916517704725266, 0.12856975197792053]","[-0.0541839599609375, 0.0275017898529768, 0.1163197010755539]","[0.009795410558581352, 0.047425527125597, 0.06450408697128296]","[0.043093811720609665, -0.005621366668492556, 0.07808922976255417]","[-0.0010865478543564677, 0.02525392919778824, 0.07735992223024368]","[0.06287121772766113, 0.03410296514630318, 0.0]","[-0.038429200649261475, 0.005958265624940395, 0.1806882917881012]","[-0.1554451882839203, -0.030702227726578712, 0.29504406452178955]","[-0.3068753778934479, -0.05821743234992027, 0.44293636083602905]","[-0.32093432545661926, -0.06330451369285583, 0.4694164991378784]","[-0.13386541604995728, -0.015356989577412605, 0.2910566031932831]","[-0.050434935837984085, -0.0039028835017234087, 0.18916118144989014]","[-0.13327454030513763, 0.0037773307412862778, 0.22477823495864868]","[-0.19274401664733887, -0.05308898165822029, 0.2991514205932617]","[-0.15633819997310638, -0.028400227427482605, 0.20766137540340424]","[-0.18456774950027466, -0.022512657567858696, 0.21641650795936584]"
